subject,session,task,run,file_path,channel_name,channel_type,is_meg,is_lfp_stn,lfp_label,lfp_side,lfp_contact_index,is_bad,sampling_rate_hz
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0513,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0512,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0511,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0523,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0522,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0521,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0532,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0533,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0531,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0542,grad,True,False,,,,False,2000.0
